Order,Name,Khmer,Geocode,number of Villages,District,Province,Latitude,Longitude
59,Ou Sampoar,អូរសំព័រ,10903,4,Malai,Banteay Meanchey ,13.5177191,102.4953899
60,Ou Sralau,អូរស្រឡៅ,10904,8,Malai,Banteay Meanchey ,13.5670345,102.3649454
61,Tuol Pongro,ទួលពង្រ,10905,12,Malai,Banteay Meanchey ,13.5665101,102.5428808
62,Ta Kong,តាគង់,10906,6,Malai,Banteay Meanchey ,13.4863329,102.7367395
63,Nimitt,និមិត្ដ,11001,15,Poi Pet,Banteay Meanchey ,13.6579053,102.5809026
64,Paoy Paet,ប៉ោយប៉ែត,11002,6,Poi Pet,Banteay Meanchey ,13.65699,102.566046
65,Phsar Kandal,ផ្សារកណ្តាល,11003,5,Poi Pet,Banteay Meanchey ,13.6372007,102.5892143
66,Ou Chrov,អូរជ្រៅ,11004,7,Poi Pet,Banteay Meanchey ,13.6540273,102.5707214
67,Ou Reusey,អូរឫស្សី,11005,5,Poi Pet,Banteay Meanchey ,13.6878138,102.6259575
68,Kantueu Muoy,កន្ទឺ ១,20101,7,Banan,Battambang ,12.899234,103.1514477
69,Kantueu Pir,កន្ទឺ ២,20102,7,Banan,Battambang ,12.951753,103.1454045
70,Bay Damram,បាយដំរាំ,20103,8,Banan,Battambang ,12.9623155,103.1855702
71,Chheu Teal,ឈើទាល,20104,15,Banan,Battambang ,12.990656,103.1558463
72,Chaeng Mean Chey,ចែងមានជ័យ,20105,8,Banan,Battambang ,12.8523909,103.0761824
73,Phnum Sampov,ភ្នំសំពៅ,20106,10,Banan,Battambang ,13.0208983,103.084689
74,Snoeng,ស្នឹង,20107,11,Banan,Battambang ,12.9607595,103.0500972
75,Ta Kream,តាគ្រាម,20108,11,Banan,Battambang ,13.0669346,103.0573109
76,Ta Pung,តាពូង,20201,7,Thma Koul,Battambang ,13.2507325,103.1620072
77,Ta Meun,តាម៉ឺន,20202,10,Thma Koul,Battambang ,13.2780966,103.0897631
78,Ou Ta Ki,អូរតាគី,20203,8,Thma Koul,Battambang ,13.1734379,103.1120098
79,Chrey,ជ្រៃ,20204,10,Thma Koul,Battambang ,13.1105699,103.1379846
80,Anlong Run,អន្លង់រុន,20205,5,Thma Koul,Battambang ,13.1669918,103.0247894
81,Chrouy Sdau,ជ្រោយស្ដៅ,20206,4,Thma Koul,Battambang ,13.3405932,103.1047283
82,Boeng Pring,បឹងព្រីង,20207,4,Thma Koul,Battambang ,13.3680597,103.0385745
83,Kouk Khmum,គោកឃ្មុំ,20208,8,Thma Koul,Battambang ,13.267789,103.0699444
84,Bansay Traeng,បន្សាយត្រែង,20209,8,Thma Koul,Battambang ,13.2649326,103.0248129
85,Rung Chrey,រូងជ្រៃ,20210,7,Thma Koul,Battambang ,13.2619066,102.9874639
86,Tuol Ta Ek,ទួលតាឯក,20301,5,Battambang,Battambang ,13.0960249,103.1869178
87,Prek Preah Sdach,ព្រែកព្រះស្ដេច,20302,8,Battambang,Battambang ,13.0880979,103.2088323
88,Rottanak,រតនៈ,20303,8,Battambang,Battambang ,13.0980339,103.2075349
89,Chomkar Somraong,ចំការសំរោង,20304,5,Battambang,Battambang ,13.1128482,103.1994056
90,Sla Ket,ស្លាកែត,20305,3,Battambang,Battambang ,13.1169787,103.2001046
91,Kdol Doun Teav,ក្ដុលដូនទាវ,20306,7,Battambang,Battambang ,13.1400053,103.2031241
92,OMal,អូរម៉ាល់,20307,10,Battambang,Battambang ,13.078903,103.126211
93,wat Kor,វត្ដគរ,20308,6,Battambang,Battambang ,13.09573,103.2022055
94,Ou Char,អូរចារ,20309,6,Battambang,Battambang ,13.1042093,103.1682675
95,Svay Por,ស្វាយប៉ោ,20310,4,Battambang,Battambang ,13.091692,103.1990758
96,Bavel,បវេល,20401,12,Bavel,Battambang ,13.2545948,102.8802479
97,Khnach Romeas,ខ្នាចរមាស,20402,8,Bavel,Battambang ,13.2626557,102.9503216
98,Lvea,ល្វា,20403,12,Bavel,Battambang ,13.2545948,102.8802479
99,Prey Khpos,ព្រៃខ្ពស់,20404,10,Bavel,Battambang ,13.3317765,102.8498689
100,Ampil Pram Daeum,អំពិលប្រាំដើម,20405,15,Bavel,Battambang ,13.2589055,102.7723636
101,Kdol Ta Haen,ក្ដុលតាហែន,20406,15,Bavel,Battambang ,13.2545948,102.8802479
102,Khlaeng Meas,ឃ្លាំងមាស,20407,13,Bavel,Battambang ,13.127533,102.7951495
103,Boeung Pram,បឹងប្រាំ,20408,9,Bavel,Battambang ,13.2545948,102.8802479
104,Bouvel,បួវិល,20409,9,Bavel,Battambang ,13.2545948,102.8802479
105,Preaek Norint,ព្រែកនរិន្ទ,20501,10,Aek Phnum,Battambang ,13.1589329,103.2276569
106,Samraong Knong,សំរោងក្នុង,20502,5,Aek Phnum,Battambang ,13.1276878,103.2206643
107,Preaek Khpob,ព្រែកខ្ពប,20503,5,Aek Phnum,Battambang ,13.1483404,103.2468725
108,Preaek Luong,ព្រែកហ្លួង,20504,7,Aek Phnum,Battambang ,13.2005347,103.3181062
109,Peam Aek,ពាមឯក,20505,8,Aek Phnum,Battambang ,13.1631056,103.1890131
110,Prey Chas,ព្រៃចាស់,20506,5,Aek Phnum,Battambang ,13.3107815,103.4003178
111,Kaoh Chiveang,កោះជីវាំង,20507,5,Aek Phnum,Battambang ,13.2225089,103.6081964
112,Moung,មោង,20601,15,Moung Ruessei,Battambang ,12.7818303,103.3703221
113,Kear,គារ,20602,12,Moung Ruessei,Battambang ,12.7004836,103.4627375
114,Prey Svay,ព្រៃស្វាយ,20603,9,Moung Ruessei,Battambang ,12.7133149,103.5475094
115,Ruessei Krang,ឫស្សីក្រាំង,20604,11,Moung Ruessei,Battambang ,12.700295,103.6043616
116,Chrey,ជ្រៃ,20605,8,Moung Ruessei,Battambang ,12.7714845,103.4482868
117,Ta Loas,តាលាស់,20606,10,Moung Ruessei,Battambang ,12.805141,103.4604668
118,Kakaoh,កកោះ,20607,8,Moung Ruessei,Battambang ,12.841635,103.3985451
119,Prey Touch,ព្រៃតូច,20608,8,Moung Ruessei,Battambang ,12.8991423,103.3731694
120,Robas Mongkol,របស់មង្គល,20609,12,Moung Ruessei,Battambang ,12.7492808,103.3852526
121,Sdau,ស្ដៅ,20701,8,Rotonak Mondol,Battambang ,12.8917528,102.9728858
122,Andaeuk Haeb,អណ្ដើកហែប,20702,7,Rotonak Mondol,Battambang ,12.9002293,102.8514837
123,Phlov Meas,ផ្លូវមាស,20703,7,Rotonak Mondol,Battambang ,12.7989669,102.8908358
124,Traeng,ត្រែង,20704,8,Rotonak Mondol,Battambang ,12.8313476,102.904703
125,Reaksmei Songha,រស្មីសង្ហារ,20705,8,Rotonak Mondol,Battambang ,13.0055759,102.783254
126,Anlong Vil,អន្លង់វិល,20801,10,Sangkae,Battambang ,13.0831799,103.2338863
127,Norea,នរា,20802,4,Sangkae,Battambang ,13.112793,103.221899
128,Ta Pon,តាប៉ុន,20803,5,Sangkae,Battambang ,13.1588841,103.3674221
129,Roka,រកា,20804,6,Sangkae,Battambang ,13.0807278,103.2403779
130,Kampong Preah,កំពង់ព្រះ,20805,6,Sangkae,Battambang ,13.0222201,103.3079167
131,Kampong Prieng,កំពង់ព្រៀង,20806,6,Sangkae,Battambang ,12.9525102,103.3443885
132,Reang Kesei,រាំងកេសី,20807,9,Sangkae,Battambang ,12.967065,103.2576906
133,Ou Dambang Muoy,អូរដំបង ១,20808,6,Sangkae,Battambang ,13.0218557,103.231151
134,Ou Dambang Pir,អូរដំបង ២,20809,6,Sangkae,Battambang ,13.0320789,103.2649065
135,Vaot Ta Muem,វត្ដតាមិម,20810,6,Sangkae,Battambang ,13.0713266,103.2048364
136,Ta Taok,តាតោក,20901,9,Samlout,Battambang ,12.4777454,102.8226913
137,Kampong Lpov,កំពង់ល្ពៅ,20902,9,Samlout,Battambang ,12.5437645,102.8695849
138,Ou Samril,អូរសំរិល,20903,6,Samlout,Battambang ,12.7171626,102.9631234
139,Sung,ស៊ុង,20904,10,Samlout,Battambang ,12.5805653,102.7678591
140,Samlout,សំឡូត,20905,11,Samlout,Battambang ,12.6209854,102.8601122
141,Mean Chey,មានជ័យ,20906,7,Samlout,Battambang ,12.7097921,102.7491049
142,Ta Sanh,តាសាញ,20907,7,Samlout,Battambang ,12.6327347,102.8629214
143,Sampov Lun,សំពៅលូន,21001,4,Sampov Lun,Battambang ,13.4302578,102.3721623
144,Angkor Ban,អង្គរបាន,21002,5,Sampov Lun,Battambang ,13.3753145,102.442493
145,Ta Sda,តាស្ដា,21003,6,Sampov Lun,Battambang ,13.4198496,102.5240666
146,Santepheap,សន្ដិភាព,21004,7,Sampov Lun,Battambang ,13.4326011,102.3735458
147,Serei Mean Chey,សេរីមានជ័យ,21005,12,Sampov Lun,Battambang ,13.4590136,102.4582048
148,Chrey Seima,ជ្រៃសីមា,21006,8,Sampov Lun,Battambang ,13.4670597,102.4859818
149,Phnum Proek,ភ្នំព្រឹក,21101,6,Phnum Proek,Battambang ,13.3157871,102.3650021
150,Pech Chenda,ពេជ្រចិន្ដា,21102,9,Phnum Proek,Battambang ,13.2238766,102.3907812
151,Bour,បួរ,21103,9,Phnum Proek,Battambang ,13.3157871,102.3650021
152,Barang Thleak,បារាំងធ្លាក់,21104,13,Phnum Proek,Battambang ,13.3373809,102.4355821
153,Ou Rumduol,អូររំដួល,21105,8,Phnum Proek,Battambang ,13.2849488,102.6155818
154,Kamrieng,កំរៀង,21201,6,Kamrieng,Battambang ,13.0923956,102.446656
155,Boeng Reang,បឹងរាំង,21202,8,Kamrieng,Battambang ,13.083055,102.4689068
156,Ou Da,អូរដា,21203,10,Kamrieng,Battambang ,13.1133876,102.5414148
157,Trang,ត្រាង,21204,9,Kamrieng,Battambang ,13.1049105,102.4348394
158,Ta Saen,តាសែន,21205,6,Kamrieng,Battambang ,13.1788291,102.4724537
159,Ta Krei,តាក្រី,21206,10,Kamrieng,Battambang ,13.1242686,102.6567225
160,Thipakdei,ធិបតី,21301,11,Koas Krala,Battambang ,12.8639161,103.2849151
161,Kaos Krala,គាស់ក្រឡ,21302,9,Koas Krala,Battambang ,12.7614042,103.2605763
162,Hab,ហប់,21303,7,Koas Krala,Battambang ,12.7959285,103.3000794
163,Preah Phos,ព្រះផុស,21304,9,Koas Krala,Battambang ,12.6568435,103.2579666
164,Doun Ba,ដូនបា,21305,8,Koas Krala,Battambang ,12.7757525,103.1435407
165,Chhnal Moan,ឆ្នាល់មាន់,21306,7,Koas Krala,Battambang ,12.6648303,103.1395589
166,Preaek Chik,ព្រែកជីក,21401,11,Rukh Kiri,Battambang ,12.6432592,103.3885798
167,Prey Tralach,ព្រៃត្រឡាច,21402,8,Rukh Kiri,Battambang ,12.5805851,103.4556163
168,Mukh Reah,មុខរាហ៍,21403,7,Rukh Kiri,Battambang ,12.5512046,103.5755118
169,Sdok Pravoek,ស្តុកប្រវឹក,21404,10,Rukh Kiri,Battambang ,12.5372084,103.5289778
170,Basak,បាសាក់,21405,9,Rukh Kiri,Battambang ,12.5682027,103.3253569
171,Batheay,បាធាយ,30101,6,Batheay,Kampong Cham ,11.9896148,104.9432659
172,Chbar Ampov,ច្បារអំពៅ,30102,4,Batheay,Kampong Cham ,11.9231801,104.9732245
173,Chealea,ជាលា,30103,5,Batheay,Kampong Cham ,11.8986076,104.9239832
174,Cheung Prey,ជើងព្រៃ,30104,7,Batheay,Kampong Cham ,12.0587695,104.9697406
175,Me Pring,មេព្រីង,30105,5,Batheay,Kampong Cham ,12.026439,104.9399572
176,Ph'av,ផ្អាវ,30106,7,Batheay,Kampong Cham ,12.0259113,104.9651706
177,Sambour,សំបូរ,30107,9,Batheay,Kampong Cham ,11.867459,104.8506402
178,Sandaek,សណ្ដែក,30108,9,Batheay,Kampong Cham ,12.136516,104.9804287
179,Tang Krang,តាំងក្រាំង,30109,8,Batheay,Kampong Cham ,11.8479009,104.9213643
180,Tang Krasang,តាំងក្រសាំង,30110,11,Batheay,Kampong Cham ,12.0797899,104.9186681
181,Trab,ត្រប់,30111,11,Batheay,Kampong Cham ,12.1349504,104.9389805
182,Tumnob,ទំនប់,30112,7,Batheay,Kampong Cham ,12.0797838,104.9756466
183,Bos Khnor,បុសខ្នុរ,30201,15,Chamkar Leu,Kampong Cham ,12.1812578,105.3189726
184,Chamkar Andoung,ចំការអណ្ដូង,30202,13,Chamkar Leu,Kampong Cham ,12.341004,105.1900007
185,Cheyyou,ជយោ,30203,7,Chamkar Leu,Kampong Cham ,12.3204416,105.357094
186,Lvea Leu,ល្វាលើ,30204,7,Chamkar Leu,Kampong Cham ,12.3559502,105.2779983
187,Spueu,ស្ពឺ,30205,8,Chamkar Leu,Kampong Cham ,12.3417736,105.3313039
188,Svay Teab,ស្វាយទាប,30206,17,Chamkar Leu,Kampong Cham ,12.2896067,105.282117
189,Ta Ong,តាអុង,30207,12,Chamkar Leu,Kampong Cham ,12.2391261,105.298898
190,Ta Prok,តាប្រុក,30208,11,Chamkar Leu,Kampong Cham ,12.3809009,105.2152735
191,Khnor Dambang,ខ្នុរដំបង,30301,3,Cheung Prey,Kampong Cham ,12.047533,105.0156533
192,Kouk Rovieng,គោករវៀង,30302,4,Cheung Prey,Kampong Cham ,12.0437266,104.9917784
193,Pdau Chum,ផ្ដៅជុំ,30303,4,Cheung Prey,Kampong Cham ,12.0520101,105.0466501
194,Prey Char,ព្រៃចារ,30304,6,Cheung Prey,Kampong Cham ,12.014629,105.088784
195,Pring Chrum,ព្រីងជ្រុំ,30305,5,Cheung Prey,Kampong Cham ,12.174666,105.0543366
196,Sampong Chey,សំពងជ័យ,30306,14,Cheung Prey,Kampong Cham ,12.1815468,105.1274274
