Order,Name,Khmer,Geocode,District,Province,Latitude,Longitude
442,Boeng,បឹង,60104,Baray,Kampong Thom ,12.3953723,105.0832527
450,Damrei Slab,ដំរីស្លាប់,60202,Kampong Svay,Kampong Thom ,12.7916946,104.8308695
452,Kampong Svay,កំពង់ស្វាយ,60204,Kampong Svay,Kampong Thom ,12.7916946,104.8308695
455,San Kor,សាន់គ,60207,Kampong Svay,Kampong Thom ,12.7916946,104.8308695
457,Trapeang Ruessei,ត្រពាំងឫស្សី,60209,Kampong Svay,Kampong Thom ,12.8221829,105.1258955
459,Prey Kuy,ព្រៃគុយ,60211,Stueng Saen,Kampong Thom ,12.70787,104.8736858
460,Damrei Choan Khla,ដំរីជាន់ខ្លា,60301,Stueng Saen,Kampong Thom ,12.70787,104.8736858
461,Kampong Thum,កំពង់ធំ,60302,Stueng Saen,Kampong Thom ,12.70787,104.8736858
463,Ou Kanthor,អូរកន្ធរ,60304,Stueng Saen,Kampong Thom ,12.70787,104.8736858
467,Srayov,ស្រយ៉ូវ,60310,Prasat Ballangk,Kampong Thom ,12.9532661,104.9418057
468,Doung,ដូង,60401,Prasat Ballangk,Kampong Thom ,12.9532661,104.9418057
469,Kraya,ក្រយា,60402,Prasat Ballangk,Kampong Thom ,12.9532661,104.9418057
470,Phan Nheum,ផាន់ញើម,60403,Prasat Ballangk,Kampong Thom ,12.9532661,104.9418057
471,Sakream,សាគ្រាម,60404,Prasat Ballangk,Kampong Thom ,12.9532661,104.9418057
472,Sala Visai,សាលាវិស័យ,60405,Prasat Ballangk,Kampong Thom ,12.9532661,104.9418057
473,Sameakki,សាមគ្គី,60406,Prasat Ballangk,Kampong Thom ,12.9532661,104.9418057
474,Tuol Kreul,ទួលគ្រើល,60407,Prasat Sambour,Kampong Thom ,12.8845104,105.0645091
475,Chhuk,ឈូក,60501,Prasat Sambour,Kampong Thom ,12.8845104,105.0645091
476,Koul,គោល,60502,Prasat Sambour,Kampong Thom ,12.8845104,105.0645091
479,Tang Krasau,តាំងក្រសៅ,60505,Sandan,Kampong Thom ,13.1048784,105.2483289
481,Dang Kambet,ដងកាំបិត,60602,Sandan,Kampong Thom ,13.1046434,105.247274
482,Klaeng,ក្លែង,60603,Sandan,Kampong Thom ,13.1048784,105.2483289
483,Mean Rith,មានរិទ្ធ,60604,Sandan,Kampong Thom ,13.1048784,105.2483289
485,Ngan,ងន,60606,Sandan,Kampong Thom ,13.1048784,105.2483289
486,Sandan,សណ្ដាន់,60607,Sandan,Kampong Thom ,13.1046434,105.247274
487,Sochet,សុចិត្រ,60608,Sandan,Kampong Thom ,13.1048784,105.2483289
490,Chroab,ជ្រាប់,60702,Santuk,Kampong Thom ,12.5614005,105.0469743
494,Pnov,ព្នៅ,60706,Santuk,Kampong Thom ,12.5614005,105.0469743
495,Prasat,ប្រាសាទ,60707,Santuk,Kampong Thom ,12.5614005,105.0469743
497,Ti Pou,ទីពោ,60709,Santuk,Kampong Thom ,12.5614005,105.0469743
500,Chamna Kraom,ចំណាក្រោម,60802,Stoung,Kampong Thom ,12.9411052,104.5684406
506,Popok,ពពក,60808,Stoung,Kampong Thom ,12.9411052,104.5684406
509,Rung Roeang,រុងរឿង,60811,Stoung,Kampong Thom ,12.9411052,104.5684406
510,Samprouch,សំព្រោជ,60812,Stoung,Kampong Thom ,12.9411052,104.5684406
511,Trea,ទ្រា,60813,Taing Kouk,Kampong Thom ,12.8221829,105.1258955
513,Chraneang,ច្រនាង,60902,Taing Kouk,Kampong Thom ,12.8221829,105.1258955
514,Chrolong,ជ្រលង,60903,Taing Kouk,Kampong Thom ,12.8221829,105.1258955
518,Svay Phleung,ស្វាយភ្លើង,60907,Taing Kouk,Kampong Thom ,12.8221829,105.1258955
519,Andoung Pou,អណ្ដូងពោធិ៍,60908,Angkor Chey,Kampot ,10.776778,104.6616973
521,Ankor Chey,អង្គរជ័យ,70102,Angkor Chey,Kampot ,10.776778,104.6616973
530,Tani,តានី,70111,Banteay Meas,Kampot ,10.6662675,104.562614
531,Banteay Meas Khang Kaeut,បន្ទាយមាសខាងកើត,70201,Banteay Meas,Kampot ,10.6662675,104.562614
569,Dang Tong,ដងទង់,70502,Dang Tong,Kampot ,10.7046815,104.4461288
570,Khcheay Khang Cheung,ឃ្ជាយខាងជើង,70503,Dang Tong,Kampot ,10.7046815,104.4461288
610,Boeng Tuk,បឹងទូក,70901,Bokor,Kampot ,10.6224876,104.0268286
611,Kaoh Touch,កោះតូច,70902,Bokor,Kampot ,10.6224876,104.0268286
630,Trea,ទ្រា,80128,Kien Svay,Kandal ,11.5102843,105.0513578
633,Dei Edth,ដីឥដ្ឋ,80203,Kien Svay,Kandal ,11.5102843,105.0513578
635,Kokir,គគីរ,80206,Kien Svay,Kandal ,11.5102843,105.0513578
638,Samraong Thum,សំរោងធំ,80211,Khsach Kandal,Kandal ,11.7516109,105.0119105
639,Chey Thum,ជ័យធំ,80302,Khsach Kandal,Kandal ,11.7516109,105.0119105
647,Sithor,ស៊ីធរ,80314,Khsach Kandal,Kandal ,11.7516109,105.0119105
650,Vihear Suork,វិហារសួគ៌,80318,Kaoh Thum,Kandal ,11.1268071,105.0572027
652,Kaoh Thum Ka,កោះធំ ‹ក›,80404,Kaoh Thum,Kandal ,11.1268071,105.0572027
654,Leuk Daek,លើកដែក,80407,Kaoh Thum,Kandal ,11.1268071,105.0572027
656,Preaek Thmei,ព្រែកថ្មី,80411,Leuk Daek,Kandal ,11.1771679,105.2282571
657,Kampong Phnum,កំពង់ភ្នំ,80501,Leuk Daek,Kandal ,11.1771679,105.2282571
661,Preaek Dach,ព្រែកដាច់,80505,Leuk Daek,Kandal ,11.1771679,105.2282571
663,Sandar,សណ្ដារ,80507,Lvea Aem,Kandal ,11.5453563,105.0411298
664,Boeng Krum,បឹងគ្រំ,80603,Lvea Aem,Kandal ,11.5453563,105.0411298
665,Kaoh Kaev,កោះកែវ,80604,Lvea Aem,Kandal ,11.5453563,105.0411298
