Order,Name,Khmer,Geocode,District,Province,Latitude,Longitude
1153,Krapeu Pir,ក្រពើពីរ,150602,Veal Veaeng,Pursat ,12.054292,103.2721197
1161,Ta Lav,តាឡាវ,160104,Ban Lung,Ratanakiri ,13.7375259,106.986264
1162,Kachanh,កាចាញ,160201,Ban Lung,Ratanakiri ,13.7375259,106.986264
1163,Labansiek,ឡាបានសៀក,160202,Ban Lung,Ratanakiri ,13.7375259,106.986264
1166,Kak,កក់,160301,Bar Kaev,Ratanakiri ,13.6849337,107.2104935
1168,La Minh,ឡាមីញ,160303,Bar Kaev,Ratanakiri ,13.6849337,107.2104935
1183,Seda,សេដា,160506,Ou Chum,Ratanakiri ,13.8075945,107.0185123
1188,Ou Chum,អូរជុំ,160605,Ou Chum,Ratanakiri ,13.8075945,107.0185123
1190,L'ak,ល្អក់,160607,Ou Ya Dav,Ratanakiri ,13.6696342,107.346448
1194,Pa Te,ប៉ាតេ,160704,Ou Ya Dav,Ratanakiri ,13.6696342,107.346448
1195,Sesan,សេសាន,160705,Ou Ya Dav,Ratanakiri ,13.6696342,107.346448
1208,Veun Sai,វើនសៃ,160910,Angkor Chum,Siem Reap ,13.6862703,103.6449543
1212,Koul,គោល,170104,Angkor Chum,Siem Reap ,13.6862703,103.6449543
1216,Chob Ta Trav,ជប់តាត្រាវ,170201,Angkor Thum,Siem Reap ,13.4840408,103.8738031
1217,Leang Dai,លាងដៃ,170202,Angkor Thum,Siem Reap ,13.4840408,103.8738031
1219,Svay Chek,ស្វាយចេក,170204,Banteay Srei,Siem Reap ,13.6031005,103.9666115
1223,Rumchek,រំចេក,170304,Banteay Srei,Siem Reap ,13.6031005,103.9666115
1224,Tbaeng,ត្បែង,170306,Chi Kraeng,Siem Reap ,13.0781698,104.297731
1234,Ruessei Lok,ឫស្សីលក,170410,Chi Kraeng,Siem Reap ,13.0781698,104.297731
1235,Sangvaeuy,សង្វើយ,170411,Chi Kraeng,Siem Reap ,13.0781698,104.297731
1237,Chanleas Dai,ចន្លាសដៃ,170601,Kralanh,Siem Reap ,13.5854814,103.4193903
1238,Kampong Thkov,កំពង់ថ្កូវ,170602,Kralanh,Siem Reap ,13.5854814,103.4193903
1239,Kralanh,ក្រឡាញ់,170603,Kralanh,Siem Reap ,13.5854814,103.4193903
1240,Krouch Kor,ក្រូចគរ,170604,Kralanh,Siem Reap ,13.5854814,103.4193903
1243,Saen Sokh,សែនសុខ,170607,Kralanh,Siem Reap ,13.5854814,103.4193903
1245,Sranal,ស្រណាល,170609,Kralanh,Siem Reap ,13.5854814,103.4193903
1246,Ta An,តាអាន,170610,Puok,Siem Reap ,13.4352943,103.7347091
1248,Doun Kaev,ដូនកែវ,170702,Puok,Siem Reap ,13.4352943,103.7347091
1249,Kdei Run,ក្ដីរុន,170703,Puok,Siem Reap ,13.4352943,103.7347091
1251,Khnat,ខ្នាត,170705,Puok,Siem Reap ,13.4352943,103.7347091
1252,Lvea,ល្វា,170707,Puok,Siem Reap ,13.8396924,103.9593586
1253,Mukh Paen,មុខប៉ែន,170708,Puok,Siem Reap ,13.4352943,103.7347091
1254,Pou Treay,ពោធិ៍ទ្រាយ,170709,Puok,Siem Reap ,13.4352943,103.7347091
1255,Puok,ពួក,170710,Puok,Siem Reap ,13.4352943,103.7347091
1260,Yeang,យាង,170716,Prasat Bakong,Siem Reap ,13.3427466,103.9782169
1265,Mean Chey,មានជ័យ,170907,Prasat Bakong,Siem Reap ,13.3427466,103.9782169
1266,Roluos,រលួស,170908,Prasat Bakong,Siem Reap ,13.3427466,103.9782169
1273,Nokor Thum,នគរធំ,171005,Siem Reap,Siem Reap ,13.3632533,103.856403
1274,Chreav,ជ្រាវ,171006,Siem Reap,Siem Reap ,13.3632533,103.856403
1276,Sngkat Sambuor,សំបួរ,171008,Siem Reap,Siem Reap ,13.3632533,103.856403
1277,Siem Reap,សៀមរាប,171009,Siem Reap,Siem Reap ,13.3632533,103.856403
1278,Srangae,ស្រង៉ែ,171010,Siem Reap,Siem Reap ,13.3632533,103.856403
1288,Popel,ពពេល,171108,Soutr Nikom,Siem Reap ,13.1712458,104.1233667
1289,Samraong,សំរោង,171109,Soutr Nikom,Siem Reap ,13.1712458,104.1233667
1290,Ta Yaek,តាយ៉ែក,171110,Srei Snam,Siem Reap ,13.8323486,103.5147735
1292,Klang Hay,ក្លាំងហាយ,171202,Srei Snam,Siem Reap ,13.8323486,103.5147735
1293,Tram Sasar,ត្រាំសសរ,171203,Srei Snam,Siem Reap ,13.8323486,103.5147735
1294,Moung,មោង,171204,Srei Snam,Siem Reap ,13.8323486,103.5147735
1295,Prei,ប្រីយ៍,171205,Srei Snam,Siem Reap ,13.8323486,103.5147735
1296,Slaeng Spean,ស្លែងស្ពាន,171206,Svay Leu,Siem Reap ,13.5532254,104.245408
1298,Kantuot,កន្ទួត,171302,Svay Leu,Siem Reap ,13.5532254,104.245408
1299,Khnang Phnum,ខ្នងភ្នំ,171303,Svay Leu,Siem Reap ,13.5532254,104.245408
1300,Svay Leu,ស្វាយលើ,171304,Svay Leu,Siem Reap ,13.5532254,104.245408
1301,Ta Siem,តាសៀម,171305,Varin,Siem Reap ,13.8683537,103.8303209
1302,Prasat,ប្រាសាទ,171401,Varin,Siem Reap ,13.8683537,103.8303209
1303,Lvea Krang,ល្វាក្រាំង,171402,Varin,Siem Reap ,13.8396924,103.9593586
1306,Varin,វ៉ារិន,171405,Run Ta Aek Techo Sen,Siem Reap ,13.4740164,104.0255945
1307,Run Ta Aek,រុនតាឯក,171501,Run Ta Aek Techo Sen,Siem Reap ,13.4740164,104.0255945
1308,Ballangk,បល្ល័ង្ក,171502,Preah Sihanouk,Preah Sihanouk ,10.6267867,103.5115545
1310,Pir,២,180102,Preah Sihanouk,Preah Sihanouk ,10.6267867,103.5115545
1311,Bei,៣,180103,Preah Sihanouk,Preah Sihanouk ,10.6267867,103.5115545
1312,Buon,៤,180104,Prey Nob,Preah Sihanouk ,10.7089175,103.8158299
1316,Cheung Kou,ជើងគោ,180204,Prey Nob,Preah Sihanouk ,10.7089175,103.8158299
1317,Ou Chrov,អូរជ្រៅ,180205,Prey Nob,Preah Sihanouk ,10.7089175,103.8158299
1319,Prey Nob,ព្រៃនប់,180207,Prey Nob,Preah Sihanouk ,10.7089175,103.8158299
1321,Sameakki,សាមគ្គី,180209,Prey Nob,Preah Sihanouk ,10.7089175,103.8158299
1323,Tuek L'ak,ទឹកល្អក់,180211,Prey Nob,Preah Sihanouk ,10.7089175,103.8158299
1324,Tuek Thla,ទឹកថ្លា,180212,Prey Nob,Preah Sihanouk ,10.7089175,103.8158299
1327,Ta Ney,តានៃ,180215,Stueng Hav,Preah Sihanouk ,10.7397262,103.6189078
1328,Kampenh,កំពេញ,180301,Stueng Hav,Preah Sihanouk ,10.7397262,103.6189078
1368,Thala Barivat,ថាឡាបរិវ៉ាត់,190511,Borei Ou Svay Senchey,Stung Treng ,13.8578249,106.0007105
1369,Ou Svay,អូរស្វាយ,190601,Borei Ou Svay Senchey,Stung Treng ,13.8578249,106.0007105
1370,Kaoh Snaeng,កោះស្នែង,190602,Borei Ou Svay Senchey,Stung Treng ,13.8578249,106.0007105
1372,Chantrea,ចន្ទ្រា,200103,Chantrea,Svay Rieng ,10.98959,106.1286901
1375,Prey Kokir,ព្រៃគគីរ,200108,Chantrea,Svay Rieng ,10.98959,106.1286901
1376,Samraong,សំរោង,200109,Chantrea,Svay Rieng ,10.98959,106.1286901
1388,Tnaot,ត្នោត,200212,Rumduol,Svay Rieng ,11.162401,105.8202234
1390,Thmea,ធ្មា,200302,Rumduol,Svay Rieng ,11.162401,105.8202234
1395,Pong Tuek,ពងទឹក,200307,Rumduol,Svay Rieng ,11.162401,105.8202234
1396,Sangkae,សង្កែ,200308,Rumduol,Svay Rieng ,11.162401,105.8202234
1400,Andoung Pou,អណ្ដូងពោធិ៍,200402,Romeas Haek,Svay Rieng ,11.4124231,105.7952744
1403,Chantrei,ចន្ដ្រី,200405,Romeas Haek,Svay Rieng ,11.4124231,105.7952744
1405,Doung,ដូង,200407,Romeas Haek,Svay Rieng ,11.4124231,105.7952744
1410,Mream,ម្រាម,200412,Romeas Haek,Svay Rieng ,11.4124231,105.7952744
1412,Sambatt Mean Chey,សម្បត្ដិមានជ័យ,200414,Romeas Haek,Svay Rieng ,11.4124231,105.7952744
1417,Chambak,ចំបក់,200503,Svay Chrum,Svay Rieng ,11.1216965,105.7224686
1420,Chheu Teal,ឈើទាល,200507,Svay Chrum,Svay Rieng ,11.1216965,105.7224686
1430,Thlok,ធ្លក,200517,Svay Rieng,Svay Rieng ,11.0877866,105.800951
1431,Svay Rieng,ស្វាយរៀង,200601,Svay Rieng,Svay Rieng ,11.0877866,105.800951
1435,Chek,ចេក,200605,Svay Rieng,Svay Rieng ,11.0877866,105.800951
1437,Sangkhoar,សង្ឃរ័,200607,Svay Teab,Svay Rieng ,11.1144529,105.9464874
1440,Monourom,មនោរម្យ,200704,Svay Teab,Svay Rieng ,11.1144529,105.9464874
1473,Borei Cholsar,បូរីជលសារ,210301,Borei Cholsar,Takeo ,10.8359421,105.0235976
1474,Chey Chouk,ជ័យជោគ,210302,Borei Cholsar,Takeo ,10.8359421,105.0235976
1476,Kampong Krasang,កំពង់ក្រសាំង,210304,Borei Cholsar,Takeo ,10.8359421,105.0235976
1477,Kouk Pou,គោកពោធិ៍,210305,Kiri Vong ,Takeo ,10.6376749,104.8746508
1481,Kampeaeng,កំពែង,210404,Kiri Vong ,Takeo ,10.6376749,104.8746508
1508,Tang Yab,តាំងយ៉ាប,210613,Samraong,Takeo ,11.1438457,104.8016887
1516,Samraong,សំរោង,210708,Samraong,Takeo ,11.1438457,104.8016887
1520,Baray,បារាយណ៍,210801,Doun Kaev,Takeo ,10.9877057,104.7871004
1521,Roka Knong,រកាក្នុង,210802,Doun Kaev,Takeo ,10.9877057,104.7871004
1522,Roka Krau,រកាក្រៅ,210803,Tram Kak,Takeo ,10.9116171,104.5896684
1535,Tram Kak,ត្រាំកក់,210913,Tram Kak,Takeo ,10.9116171,104.5896684
1551,Tralach,ត្រឡាច,211014,Anlong Veaeng,Oddar Meanchey,14.2413707,104.0943247
1552,Anlong Veaeng,អន្លង់វែង,220101,Anlong Veaeng,Oddar Meanchey,14.2413707,104.0943247
1555,Thlat,ថ្លាត,220105,Anlong Veaeng,Oddar Meanchey,14.2413707,104.0943247
1561,Cheung Tien,ជើងទៀន,220301,Chong Kal,Oddar Meanchey,13.9497185,103.5711692
1562,Chong Kal,ចុងកាល់,220302,Chong Kal,Oddar Meanchey,13.9497185,103.5711692
1564,Pongro,ពង្រ,220304,Samraong,Oddar Meanchey,14.2419164,103.5702011
1566,Bos Sbov,បុស្បូវ,220402,Samraong,Oddar Meanchey,14.2419164,103.5702011
1577,Pong Tuek,ពងទឹក,230103,Kaeb,Kep ,11.473724,104.8250329
1580,Ou Krasar,អូរក្រសារ,230203,Pailin,Pailin ,12.8551703,102.6089534
1581,Pailin,ប៉ៃលិន,240101,Pailin,Pailin ,12.8551703,102.6089534
1588,Ou Andoung,អូរអណ្ដូង,240204,Dambae,Tboung Khmum ,11.9177554,105.8583873
1590,Dambae,តំបែរ,250102,Dambae,Tboung Khmum ,11.9177554,105.8583873
1596,Chhuk,ឈូក,250201,Krouch Chhmar,Tboung Khmum ,12.2728471,105.6521474
1599,Kaoh Pir,កោះពីរ,250204,Krouch Chhmar,Tboung Khmum ,12.2728471,105.6521474
1600,Krouch Chhmar,ក្រូចឆ្មារ,250205,Krouch Chhmar,Tboung Khmum ,12.2728471,105.6521474
1601,Peus Muoy,ប៉ឺស១,250206,Krouch Chhmar,Tboung Khmum ,12.2728471,105.6521474
1606,Trea,ទ្រា,250211,Krouch Chhmar,Tboung Khmum ,12.2728471,105.6521474
1608,Chan Mul,ចាន់មូល,250301,Memot,Tboung Khmum ,11.8301955,106.1786787
1609,Choam,ជាំ,250302,Memot,Tboung Khmum ,11.8301955,106.1786787
1610,Choam Kravien,ជាំក្រវៀន,250303,Memot,Tboung Khmum ,11.8301955,106.1786787
1611,Choam Ta Mau,ជាំតាម៉ៅ,250304,Memot,Tboung Khmum ,11.8301955,106.1786787
1612,Dar,ដារ,250305,Memot,Tboung Khmum ,11.8301955,106.1786787
1613,Kampoan,កំពាន់,250306,Memot,Tboung Khmum ,11.8301955,106.1786787
1615,Memong,មេមង,250308,Memot,Tboung Khmum ,11.8301955,106.1786787
1616,Memot,មេមត់,250309,Memot,Tboung Khmum ,11.8301955,106.1786787
1617,Rumchek,រំចេក,250310,Memot,Tboung Khmum ,11.8301955,106.1786787
1618,Rung,រូង,250311,Memot,Tboung Khmum ,11.8301955,106.1786787
1621,Triek,ទ្រៀក,250314,Ou Reang Ov,Tboung Khmum ,11.7967745,105.5034785
1623,Chak,ចក,250402,Ou Reang Ov,Tboung Khmum ,11.7967745,105.5034785
1627,Preah Theat,ព្រះធាតុ,250406,Ou Reang Ov,Tboung Khmum ,11.7967745,105.5034785
1628,Tuol Souphi,ទួលសូភី,250407,Ponhea Kraek,Tboung Khmum ,11.7977718,105.8789403
1630,Kak,កក់,250502,Ponhea Kraek,Tboung Khmum ,11.7977718,105.8789403
1639,Anhchaeum,អញ្ចើម,250701,Tboung Khmum,Tboung Khmum ,11.9213853,105.6002024
1640,Boeng Pruol,បឹងព្រួល,250702,Tboung Khmum,Tboung Khmum ,11.9213853,105.6002024
1645,Kor,គរ,250707,Tboung Khmum,Tboung Khmum ,11.9213853,105.6002024
1646,Lngieng,ល្ងៀង,250708,Tboung Khmum,Tboung Khmum ,11.9213853,105.6002024
1650,Sralab,ស្រឡប់,250712,Tboung Khmum,Tboung Khmum ,11.9213853,105.6002024
