level,code1,code2,distance,longitude_1,latitude_1,longitude_2,latitude_2
1,KH01,KH02,80.67797997692918,103.01780957650536,13.705363970488683,103.08542051698794,12.97913867587153
1,KH01,KH17,110.73123846039273,103.01780957650536,13.705363970488683,104.02086979741118,13.507522114827268
1,KH01,KH22,97.62329412193455,103.01780957650536,13.705363970488683,103.78943683545648,14.164212510559658
1,KH02,KH15,91.02245879472042,103.08542051698794,12.97913867587153,103.60687884858622,12.335105759047432
1,KH02,KH17,117.02738603605195,103.08542051698794,12.97913867587153,104.02086979741118,13.507522114827268
1,KH02,KH24,50.11627934481421,103.08542051698794,12.97913867587153,102.6344816638291,12.881305465209197
1,KH03,KH04,77.63500610890522,105.27233748195536,12.126012755619968,104.55990829606873,12.159931986154998
1,KH03,KH06,80.81222432553132,105.27233748195536,12.126012755619968,105.0685838237367,12.828537299127103
1,KH03,KH08,82.57845118718313,105.27233748195536,12.126012755619968,105.01798213148452,11.422834317651928
1,KH03,KH10,112.28702784154895,105.27233748195536,12.126012755619968,106.16923273920682,12.628916724314355
1,KH03,KH14,82.40197316428014,105.27233748195536,12.126012755619968,105.42437846686076,11.396325102045065
1,KH03,KH25,70.29363302838117,105.27233748195536,12.126012755619968,105.8883071303499,11.935875829093465
1,KH04,KH05,74.93197582472517,104.55990829606873,12.159931986154998,104.29252955738376,11.535854254315606
1,KH04,KH06,92.34803387792138,104.55990829606873,12.159931986154998,105.0685838237367,12.828537299127103
1,KH04,KH08,95.6075299808796,104.55990829606873,12.159931986154998,105.01798213148452,11.422834317651928
1,KH04,KH15,105.48691548315159,104.55990829606873,12.159931986154998,103.60687884858622,12.335105759047432
1,KH05,KH07,81.93025743721915,104.29252955738376,11.535854254315606,104.30931542516663,10.795366573221418
1,KH05,KH08,80.13331692522867,104.29252955738376,11.535854254315606,105.01798213148452,11.422834317651928
1,KH05,KH09,95.97791456693527,104.29252955738376,11.535854254315606,103.41301232407561,11.513566846389962
1,KH05,KH15,115.73752715739025,104.29252955738376,11.535854254315606,103.60687884858622,12.335105759047432
1,KH05,KH18,91.59304550727472,104.29252955738376,11.535854254315606,103.80354003627491,10.863139646891678
1,KH05,KH21,87.22507428118786,104.29252955738376,11.535854254315606,104.81624234924085,10.940453938050812
1,KH06,KH10,121.5547020176797,105.0685838237367,12.828537299127103,106.16923273920682,12.628916724314355
1,KH06,KH13,107.44436956819186,105.0685838237367,12.828537299127103,105.00639934408166,13.797802589438033
1,KH06,KH17,136.17549988898799,105.0685838237367,12.828537299127103,104.02086979741118,13.507522114827268
1,KH06,KH19,161.5017888727329,105.0685838237367,12.828537299127103,106.17532321905853,13.806444698568635
1,KH07,KH18,55.81227372512642,104.30931542516663,10.795366573221418,103.80354003627491,10.863139646891678
1,KH07,KH21,57.70202419045358,104.30931542516663,10.795366573221418,104.81624234924085,10.940453938050812
1,KH07,KH23,30.518927483870243,104.30931542516663,10.795366573221418,104.34379784113221,10.521573859466901
1,KH08,KH12,22.76164798623751,105.01798213148452,11.422834317651928,104.86514938347514,11.562899898718557
1,KH08,KH14,44.448448894625756,105.01798213148452,11.422834317651928,105.42437846686076,11.396325102045065
1,KH08,KH21,57.729366965204996,105.01798213148452,11.422834317651928,104.81624234924085,10.940453938050812
1,KH09,KH15,93.30145847563911,103.41301232407561,11.513566846389962,103.60687884858622,12.335105759047432
1,KH09,KH18,83.6402298312343,103.41301232407561,11.513566846389962,103.80354003627491,10.863139646891678
1,KH10,KH11,90.6535970998577,106.16923273920682,12.628916724314355,106.99192459340235,12.767059479349559
1,KH10,KH19,130.27440240320192,106.16923273920682,12.628916724314355,106.17532321905853,13.806444698568635
1,KH10,KH25,82.53401029624375,106.16923273920682,12.628916724314355,105.8883071303499,11.935875829093465
1,KH11,KH16,114.37578968843516,106.99192459340235,12.767059479349559,107.0884420417243,13.796559601020789
1,KH11,KH19,145.0940329542999,106.99192459340235,12.767059479349559,106.17532321905853,13.806444698568635
1,KH13,KH17,111.35992489155845,105.00639934408166,13.797802589438033,104.02086979741118,13.507522114827268
1,KH13,KH19,126.39430895597015,105.00639934408166,13.797802589438033,106.17532321905853,13.806444698568635
1,KH13,KH22,137.59140865069227,105.00639934408166,13.797802589438033,103.78943683545648,14.164212510559658
1,KH14,KH20,54.94221587591812,105.42437846686076,11.396325102045065,105.86434697166784,11.155268247245363
1,KH14,KH25,78.23714359718728,105.42437846686076,11.396325102045065,105.8883071303499,11.935875829093465
1,KH16,KH19,98.73795291047874,107.0884420417243,13.796559601020789,106.17532321905853,13.806444698568635
1,KH17,KH22,76.84220487280942,104.02086979741118,13.507522114827268,103.78943683545648,14.164212510559658
2,KH0102,KH0104,30.573755829343334,102.98792777081769,13.458231272330666,103.24361249888025,13.575598321842898
2,KH0102,KH0105,27.91511758853094,102.98792777081769,13.458231272330666,102.8103867532618,13.641240634529806
2,KH0102,KH0106,17.41951848119359,102.98792777081769,13.458231272330666,102.96562397586352,13.614161815619086
2,KH0102,KH0109,45.406523611055775,102.98792777081769,13.458231272330666,102.57333444536712,13.520118783889513
2,KH0102,KH0202,24.671666279708646,102.98792777081769,13.458231272330666,103.09417094253905,13.260978148686123
2,KH0102,KH0204,29.943711370103365,102.98792777081769,13.458231272330666,102.82573513679063,13.23906890426713
2,KH0102,KH0205,54.302232727015436,102.98792777081769,13.458231272330666,103.43847112511482,13.243083967695432
2,KH0102,KH0210,49.91884563036694,102.98792777081769,13.458231272330666,102.52861167039845,13.420041799983359
2,KH0103,KH0104,28.527539012633532,103.31674502005148,13.82333472614244,103.24361249888025,13.575598321842898
2,KH0103,KH0107,36.14091514542476,103.31674502005148,13.82333472614244,103.04348783593909,14.011641132079497
2,KH0103,KH0108,39.27183946009524,103.31674502005148,13.82333472614244,102.95360110629117,13.81552054579504
2,KH0103,KH1706,32.72880468331489,103.31674502005148,13.82333472614244,103.48426579566548,13.576993632886397
2,KH0103,KH1712,26.59660241277453,103.31674502005148,13.82333472614244,103.562291960234,13.838050793835242
2,KH0103,KH2202,38.47835173780023,103.31674502005148,13.82333472614244,103.2687460779778,14.167944121680629
2,KH0103,KH2203,38.50908701147578,103.31674502005148,13.82333472614244,103.6081245160207,14.023689933557975
2,KH0104,KH0106,30.385100184941372,103.24361249888025,13.575598321842898,102.96562397586352,13.614161815619086
2,KH0104,KH0108,41.0948502581595,103.24361249888025,13.575598321842898,102.95360110629117,13.81552054579504
2,KH0104,KH0202,38.386406476166705,103.24361249888025,13.575598321842898,103.09417094253905,13.260978148686123
2,KH0104,KH0205,42.41097135163862,103.24361249888025,13.575598321842898,103.43847112511482,13.243083967695432
2,KH0104,KH1706,26.046119009806326,103.24361249888025,13.575598321842898,103.48426579566548,13.576993632886397
2,KH0105,KH0106,17.062614524767074,102.8103867532618,13.641240634529806,102.96562397586352,13.614161815619086
2,KH0105,KH0108,24.733123789614115,102.8103867532618,13.641240634529806,102.95360110629117,13.81552054579504
2,KH0105,KH0109,28.944299443829117,102.8103867532618,13.641240634529806,102.57333444536712,13.520118783889513
2,KH0105,KH0110,15.82781434538123,102.8103867532618,13.641240634529806,102.66416506528935,13.645447281205103
2,KH0106,KH0108,22.315594600055714,102.96562397586352,13.614161815619086,102.95360110629117,13.81552054579504
2,KH0107,KH0108,23.773823035501607,103.04348783593909,14.011641132079497,102.95360110629117,13.81552054579504
2,KH0107,KH2202,29.846576500805295,103.04348783593909,14.011641132079497,103.2687460779778,14.167944121680629
